"","x"
"X1992",0.00196152445970118
"X1993",0.00208539798802904
"X1994",0.00198212369555887
"X1995",0.00200073658765373
"X1996",0.00198624819847081
"X1997",0.00201386042940067
"X1998",0.00192821056974438
"X1999",0.00170162515060287
"X2000",0.00170918697708296
"X2001",0.00171963182026234
"X2002",0.00160436705360062
"X2003",0.00169983142661067
"X2004",0.00170525456996416
"X2005",0.00174276737066073
"X2006",0.00167142483346087
"X2007",0.00175233127364164
"X2008",0.00191339082247389
"X2009",0.001999793938092
"X2010",0.00201134522681504
"X2011",0.00172781976620289
"X2012",0.00165925013620281
"X2013",0.00167743372035849
"X2014",0.00170960136952444
"X2015",0.00174268072245637
"X2016",0.00172459224244565
"X2017",0.00173232818201648
