"","x"
"X1992",0.00173422857442188
"X1993",0.00322687226070639
"X1994",0.00307324436888646
"X1995",0.0030078837530871
"X1996",0.00302157217151105
"X1997",0.00294936642970362
"X1998",0.0029723361469841
"X1999",0.0021291061308311
"X2000",0.00258364886872432
"X2001",0.00242651909182025
"X2002",Inf
"X2003",Inf
"X2004",Inf
"X2005",Inf
"X2006",Inf
"X2007",Inf
"X2008",0.00292786942328178
"X2009",Inf
"X2010",0.00293722219039883
"X2011",Inf
"X2012",Inf
"X2013",Inf
"X2014",Inf
"X2015",Inf
"X2016",Inf
"X2017",Inf
