"","x"
"X1992",0.00351678531824036
"X1993",0.0031017620477994
"X1994",0.00318139569693455
"X1995",0.00321125867662079
"X1996",0.00317737679062442
"X1997",0.00419800786603381
"X1998",0.00433315677257013
"X1999",0.00395169820909211
"X2000",0.00733538814477979
"X2001",0.006993539704722
"X2002",0.00392345744594636
"X2003",0.00471383300447193
"X2004",0.00551392229378093
"X2005",0.00501963027697765
"X2006",0.00509326250157934
"X2007",0.00515963093909473
"X2008",0.00452760524033647
"X2009",0.00334769772849364
"X2010",0.00332062520033599
"X2011",0.0032554239419847
"X2012",0.00364147885634871
"X2013",0.00521854573814615
"X2014",0.00423843289015752
"X2015",0.00417557112334887
"X2016",0.00511511627461716
"X2017",0.0050869342025019
