"","x"
"X1992",0.00563389083856309
"X1993",0.00563874405577107
"X1994",0.00455162378905261
"X1995",0.00504702916368169
"X1996",0.0033315083699063
"X1997",0.00329450681523049
"X1998",0.00324812865843767
"X1999",0.00324124056008451
"X2000",0.00650699512489846
"X2001",0.00621767091408557
"X2002",0.00651569650359143
"X2003",0.00658994910939756
"X2004",0.00606334466102283
"X2005",0.00491226216353859
"X2006",0.00613752984593013
"X2007",0.0064451484158126
"X2008",0.00645953726791619
"X2009",0.00645905748092066
"X2010",0.00498298904047288
"X2011",0.00558731209088581
"X2012",0.00533772837121606
"X2013",0.0068935629257447
"X2014",0.00680155247478279
"X2015",0.00613514925120414
"X2016",0.00613492134581561
"X2017",0.00588029873900146
