"","x"
"X1992",0.000885690857382186
"X1993",0.00126444061274151
"X1994",0.000442240760123757
"X1995",0.000559751565607644
"X1996",0.000568374210316339
"X1997",0.00170256708962514
"X1998",0.00169407360125345
"X1999",0.00174890630589454
"X2000",0.00182596434758811
"X2001",0.00149924229871315
"X2002",0.00191443066988977
"X2003",0.00191443066988977
"X2004",0.00206260386625897
"X2005",0.0011609102082216
"X2006",0.00119466102359891
"X2007",0.00111131607508002
"X2008",0.00131818206947244
"X2009",0.00254418551146407
"X2010",0.00266335658436024
"X2011",0.00231144776568928
"X2012",0.00192875367082449
"X2013",0.00196670704823549
"X2014",0.00170719954023044
"X2015",0.00142124841950671
"X2016",0.00161855346355174
"X2017",0.00170883766401066
