"","x"
"X1992",0.0450260321595905
"X1993",0.0474429495603852
"X1994",0.0421821915900398
"X1995",0.0438518760066336
"X1996",0.0425507047816748
"X1997",0.0495220759092561
"X1998",0.0548312627460152
"X1999",0.0579030454863332
"X2000",0.0557655184568352
"X2001",0.0561929055676472
"X2002",0.0488636472821054
"X2003",0.0475970656857514
"X2004",0.0724160491291313
"X2005",0.0729309858615295
"X2006",0.0706108775744521
"X2007",0.0708028042088313
"X2008",0.0711535097237578
"X2009",0.0697883682350709
"X2010",0.0706328633015835
"X2011",0.0733522957008443
"X2012",0.119801079740215
"X2013",0.126360319828301
"X2014",0.124760107885336
"X2015",0.124705951001663
"X2016",0.124751644921308
"X2017",0.11932539026638
