"","x"
"X1992",0.122381910165127
"X1993",0.105515472897687
"X1994",0.103374303825915
"X1995",0.0552475353047392
"X1996",0.0549633672114304
"X1997",0.054383699326588
"X1998",0.0539967695295139
"X1999",0.0570998956034797
"X2000",0.0779464375953335
"X2001",0.104677181048999
"X2002",0.108569715158795
"X2003",0.106771820868162
"X2004",0.10772582631014
"X2005",0.128303908489121
"X2006",0.129287128804
"X2007",0.128761052400657
"X2008",0.130242972213486
"X2009",0.129735088359121
"X2010",0.129043900491352
"X2011",0.114338060805416
"X2012",0.133426200374544
"X2013",0.132478108608528
"X2014",0.13263111217185
"X2015",0.132623955613786
"X2016",0.132472676162692
"X2017",0.131584202964462
