"","x"
"X1992",NA
"X1993",NA
"X1994",NA
"X1995",NA
"X1996",NA
"X1997",NA
"X1998",NA
"X1999",0.00374948466854267
"X2000",0.00374948466854267
"X2001",0.00374948466854267
"X2002",NA
"X2003",0.0125137093783396
"X2004",NA
"X2005",0.0125137093783396
"X2006",0.0125137093783396
"X2007",0.0125137093783396
"X2008",0.0125137093783396
"X2009",0.0125137093783396
"X2010",0.0125137093783396
"X2011",0.0125137093783396
"X2012",0.00426992980555374
"X2013",0.00426992980555374
"X2014",0.00426992980555374
"X2015",0.00426992980555374
"X2016",0.0141447577556107
"X2017",0.00426992980555374
