"","x"
"X1992",0.108847527739763
"X1993",0.130171439116888
"X1994",0.118369691809034
"X1995",0.0954756036313167
"X1996",0.0907254617825303
"X1997",0.0864137194989769
"X1998",0.0820524722829891
"X1999",0.0844788632399893
"X2000",0.114839077030082
"X2001",0.11227149956219
"X2002",0.11198592317149
"X2003",0.110409669472968
"X2004",0.107997687267166
"X2005",0.0743547795111863
"X2006",0.0789318338879619
"X2007",0.107582800074832
"X2008",0.0940897619449528
"X2009",0.0902682731911644
"X2010",0.0996441868811251
"X2011",0.101820202074158
"X2012",0.0982756181059915
"X2013",0.129576606797101
"X2014",0.130174248827689
"X2015",0.131137041870342
"X2016",0.130639955366709
"X2017",0.127817032669954
