"","x"
"X1992",0.00234522011055102
"X1993",0.00166927582304408
"X1994",0.00231814151104891
"X1995",0.00321919647217919
"X1996",0.00320958987785145
"X1997",0.00324972495815325
"X1998",0.00351531536193447
"X1999",0.00312935816659093
"X2000",0.00333880096099642
"X2001",0.00329233429046359
"X2002",0.00334685544942383
"X2003",0.00335143888113979
"X2004",0.00344645980715577
"X2005",0.00338126433963315
"X2006",0.00318556538597687
"X2007",0.00328820293128353
"X2008",0.00308061398813088
"X2009",0.00305408591220905
"X2010",0.00314648603005955
"X2011",0.00312872053919085
"X2012",0.00309317818086897
"X2013",0.0031763871381176
"X2014",0.00315111975192341
"X2015",0.00317056535702145
"X2016",0.00316985980469897
"X2017",0.0031673895982549
