"","x"
"X1992",0.102235932413525
"X1993",0.113257694841066
"X1994",0.110934623681999
"X1995",0.121942226633195
"X1996",0.0746312799857792
"X1997",0.0655460026019996
"X1998",0.0639821916093925
"X1999",0.0745323849103098
"X2000",0.0858380046537879
"X2001",0.0964212600367948
"X2002",0.0954772870574435
"X2003",0.100508774076614
"X2004",0.099157388058841
"X2005",0.110578083614307
"X2006",0.106879513962383
"X2007",0.10559448677053
"X2008",0.109789415244622
"X2009",0.113281761267573
"X2010",0.113370107441757
"X2011",0.112982966476208
"X2012",0.119304139169616
"X2013",0.134618042551366
"X2014",0.133472092634423
"X2015",0.135095294403465
"X2016",0.136318639576779
"X2017",0.127380250978665
