"","x"
"X1992",0.101634979037798
"X1993",0.0980323083778207
"X1994",0.100655752582843
"X1995",0.109121752409618
"X1996",0.061837139577072
"X1997",0.0625195154286823
"X1998",0.0621083913895702
"X1999",0.0682498015650504
"X2000",0.147626913461497
"X2001",0.106064985775859
"X2002",0.114681218995754
"X2003",0.146645367636347
"X2004",0.104357957677451
"X2005",0.146072347731606
"X2006",0.145325167853301
"X2007",0.138225947525592
"X2008",0.143452726544732
"X2009",0.133075904654018
"X2010",0.108582536678543
"X2011",0.102649469552789
"X2012",0.0990187277206801
"X2013",0.0997021417987064
"X2014",0.0845984228614219
"X2015",0.0826842000428911
"X2016",0.0870668029454426
"X2017",0.089509266644604
