"","x"
"X1992",0.0650568613105404
"X1993",0.0632664165475956
"X1994",0.063753943531734
"X1995",0.0646280062260475
"X1996",0.0611898933283484
"X1997",0.06152086255154
"X1998",0.0597050002459232
"X1999",0.0592831082816595
"X2000",0.0653607655767655
"X2001",0.0653238249031344
"X2002",0.0644888101068622
"X2003",0.0652061457659168
"X2004",0.064551388858371
"X2005",0.0654121860523921
"X2006",0.0636994597333854
"X2007",0.0636647322298654
"X2008",0.06362042853223
"X2009",0.0710675229046575
"X2010",0.0698336429514213
"X2011",0.0714156933913444
"X2012",0.0704612341837035
"X2013",0.0625011733401497
"X2014",0.0629415022635118
"X2015",0.0635899356305993
"X2016",0.0656453024862843
"X2017",0.0660854544009563
