"","x"
"X1992",0.00309872805345846
"X1993",0.00282136996578288
"X1994",0.00296157152000358
"X1995",NA
"X1996",0.000767656954710432
"X1997",0.000928048209208684
"X1998",0.00159805406784448
"X1999",0.00244751566512564
"X2000",0.0028910066927291
"X2001",0.0030824776770331
"X2002",0.00216795401851282
"X2003",0.00217601873408962
"X2004",0.00188766696259167
"X2005",0.0017844114646943
"X2006",0.0024053936241104
"X2007",0.00296922309505978
"X2008",0.00276410143438063
"X2009",0.00313372303578641
"X2010",0.00326095275475839
"X2011",0.00339131487979668
"X2012",0.00321531905084007
"X2013",0.00321531905084007
"X2014",0.00298129213744074
"X2015",0.00304967289419941
"X2016",0.00423207012665862
"X2017",0.00414269691830554
