"","x"
"X1992",NA
"X1993",NA
"X1994",NA
"X1995",NA
"X1996",NA
"X1997",NA
"X1998",NA
"X1999",NA
"X2000",NA
"X2001",NA
"X2002",0.00102317737962011
"X2003",0.00134440932468416
"X2004",0.00137574041893042
"X2005",0.00103093433757797
"X2006",0.00122592360698256
"X2007",0.00107790343396864
"X2008",NA
"X2009",NA
"X2010",NA
"X2011",0.0016127513333361
"X2012",0.00167413597775328
"X2013",0.00175822983026215
"X2014",0.00274743877331569
"X2015",0.00280843809120565
"X2016",0.00278496344833529
"X2017",0.00271275417325683
