"","x"
"X1992",0.00268175593521819
"X1993",0.00106138740682514
"X1994",0.00197760747947777
"X1995",0.00189880242417409
"X1996",0.00112793718116761
"X1997",0.00152438623183686
"X1998",0.0016073162325114
"X1999",0.0016399914892674
"X2000",0.00175391910100134
"X2001",0.00221217991346331
"X2002",0.00202000384340345
"X2003",0.00227537952747614
"X2004",0.00230542757334463
"X2005",0.00213685717345566
"X2006",0.00180067201629741
"X2007",0.00190188848115
"X2008",0.00218598499672059
"X2009",0.00192588450367702
"X2010",0.0017322162111285
"X2011",0.00186917605753495
"X2012",0.00133862477690404
"X2013",0.0031172620337705
"X2014",0.00345714427191429
"X2015",0.00338959175217312
"X2016",0.00343946006760432
"X2017",0.00328274310279271
