"","x"
"X1992",0.0699264364088678
"X1993",0.0591854589407023
"X1994",0.0599021107810584
"X1995",0.0596883422644241
"X1996",0.0608130116965193
"X1997",0.0619673259093158
"X1998",0.0620658593675126
"X1999",0.0623946055820009
"X2000",0.0650079668030114
"X2001",0.0650507990973894
"X2002",0.0636165936395896
"X2003",0.074216943018328
"X2004",0.0729551742769024
"X2005",0.0630946264932105
"X2006",0.063332319106558
"X2007",0.0655782989071714
"X2008",0.0645482636704366
"X2009",0.0707980932254152
"X2010",0.0678749238623813
"X2011",0.076734131562161
"X2012",0.0827879044835029
"X2013",0.0745529768221559
"X2014",0.0872835409379204
"X2015",0.0896827771746482
"X2016",0.0816178784034832
"X2017",0.0763738845333122
