"","x"
"X1992",0.0722147873090865
"X1993",0.0676676137926052
"X1994",0.063912556772676
"X1995",0.0704656660228157
"X1996",0.0684241912006208
"X1997",0.0739295249305511
"X1998",0.0743793376843063
"X1999",0.079835504986729
"X2000",0.0738107697998872
"X2001",0.0797455682450687
"X2002",0.0748175383723354
"X2003",0.0961608595502612
"X2004",0.0983963824022311
"X2005",0.0990819475281823
"X2006",0.0961153334655976
"X2007",0.0945080488532887
"X2008",0.084711432074143
"X2009",0.100624742590381
"X2010",0.108677051252507
"X2011",0.114606218359958
"X2012",0.114362003464656
"X2013",0.119931146063889
"X2014",0.119965969134617
"X2015",0.130711377511455
"X2016",0.122590509854266
"X2017",0.122395270568275
