"","x"
"X1992",0.00312128849420657
"X1993",0.0031752129454008
"X1994",0.00315172488728448
"X1995",0.00323014521204292
"X1996",0.00330705201483244
"X1997",0.00330652992251481
"X1998",0.00323964301299041
"X1999",0.00347738546718718
"X2000",0.0041161059676242
"X2001",0.00426076695696996
"X2002",0.00418915079700241
"X2003",0.00414360118995857
"X2004",0.00406742771972299
"X2005",0.00363666095395981
"X2006",0.00321321622722037
"X2007",0.00321523613008998
"X2008",0.00335470526320719
"X2009",0.00445822309971396
"X2010",0.00451223411007614
"X2011",0.0053172137668018
"X2012",0.00558187752741764
"X2013",0.00573664613041504
"X2014",0.0054030227114139
"X2015",0.00505579900155555
"X2016",0.00486331480030822
"X2017",0.00462277621885004
