"","x"
"X1992",0.0595076813023852
"X1993",0.0593511558529423
"X1994",0.059334329832621
"X1995",0.0606669444376994
"X1996",0.0605249656672987
"X1997",0.0612766699487782
"X1998",0.0614684449735162
"X1999",0.0630339512525686
"X2000",0.0825598977431471
"X2001",0.0714757451304108
"X2002",0.0835591422248743
"X2003",0.083454271830399
"X2004",0.101646440475912
"X2005",0.0656040539960391
"X2006",0.0637818109413495
"X2007",0.0651849254391556
"X2008",0.0644294479792345
"X2009",0.092984010190115
"X2010",0.0635856673149368
"X2011",0.0637524666455438
"X2012",0.0812451796696183
"X2013",0.0644264568354486
"X2014",0.0928625152680864
"X2015",0.0738604336773463
"X2016",0.060420309595596
"X2017",0.0603548223872184
