"","x"
"X1992",0.00560252207811418
"X1993",0.00578373054476718
"X1994",0.00541547350255216
"X1995",0.0060795453787528
"X1996",0.00358343319793607
"X1997",0.00340928536874933
"X1998",0.00334454104792445
"X1999",0.00431998767487509
"X2000",0.0065434209489742
"X2001",0.00648155110724663
"X2002",0.00650506618091066
"X2003",0.00651903964311399
"X2004",0.00620868599056946
"X2005",0.00665410211563112
"X2006",0.00661509852440371
"X2007",0.00754624878417659
"X2008",0.00758308467848229
"X2009",0.00598363788803957
"X2010",0.00586883450924486
"X2011",0.00617198366468747
"X2012",0.00677987477271612
"X2013",0.00698409445867857
"X2014",0.00700374865932158
"X2015",0.00702678761941646
"X2016",0.0070102515728883
"X2017",0.00694847674780752
